standard_tag,count
math,3842
greedy,3708
simulation,3087
dynamic-programming,2954
array,2036
enumeration,2004
constructive algorithms,1952
data structures,1906
sorting,1651
string,1587
binary-search,1519
depth-first-search,1339
graph,1330
tree,1140
hash-table,980
number-theory,906
two-pointers,837
combinatorics,820
bitmask,699
union-find,485
geometry,455
matrix,399
divide-and-conquer,385
*special,364
shortest-path,325
game-theory,291
interactive,280
bit-manipulation,261
probability-and-statistics,261
breadth-first-search,249
prefix-sum,224
heap-priority-queue,203
counting,180
binary-tree,177
stack,174
flows,158
sliding-window,158
design,129
backtracking,111
fft,104
suffix-array,102
graph matchings,100
linked-list,82
ordered-set,76
monotonic-stack,70
segment-tree,69
ternary search,66
trie,59
meet-in-the-middle,51
queue,50
recursion,49
binary-indexed-tree,43
memoization,42
hash-function,41
binary-search-tree,40
2-sat,39
topological-sort,37
string-matching,37
expression parsing,33
rolling-hash,32
data-stream,22
chinese remainder theorem,21
monotonic-queue,20
brainteaser,20
doubly-linked-list,14
schedules,13
randomized,12
merge-sort,12
counting-sort,11
iterator,9
line-sweep,8
quickselect,7
minimum-spanning-tree,6
bucket-sort,6
reservoir-sampling,4
radix-sort,3
strongly-connected-component,3
eulerian-circuit,3
rejection-sampling,2
sort,2
biconnected-component,1
